Mod:Item:MetaData, Localized Name
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:fan, Fan
OpenBlocks:xpbottler, XP Bottler
OpenBlocks:village_highlighter, Village Highlighter
OpenBlocks:path, Path
OpenBlocks:autoanvil, Auto Anvil
OpenBlocks:autoenchantmenttable, Auto Enchantment Table
OpenBlocks:xpdrain, XP Drain
OpenBlocks:blockbreaker, Block Breaker
OpenBlocks:blockPlacer, Block Placer
OpenBlocks:itemDropper, Item Dropper
OpenBlocks:ropeladder, Rope Ladder
OpenBlocks:donationStation, Donation Station
OpenBlocks:paintmixer, Paint Mixer
OpenBlocks:canvas, Canvas
OpenBlocks:paintcan, Paint Can
OpenBlocks:canvasglass, Glass Canvas
OpenBlocks:projector, Height Map Projector
OpenBlocks:drawingtable, Drawing Table
OpenBlocks:sky:0, Sky Block
OpenBlocks:sky:1, Sky Block
OpenBlocks:xpshower, XP Shower
OpenBlocks:goldenegg, Golden Egg
OpenBlocks:scaffolding, Scaffolding
OreSpawn:OreSpawn_SpiderSpawnBlock, tile.orespider.name
OreSpawn:OreSpawn_BatSpawnBlock, tile.orebat.name
OreSpawn:OreSpawn_CowSpawnBlock, tile.orecow.name
OreSpawn:OreSpawn_PigSpawnBlock, tile.orepig.name
OreSpawn:OreSpawn_SquidSpawnBlock, tile.oresquid.name
OreSpawn:OreSpawn_ChickenSpawnBlock, tile.orechicken.name
OreSpawn:OreSpawn_CreeperSpawnBlock, tile.orecreeper.name
OreSpawn:OreSpawn_SkeletonSpawnBlock, tile.oreskeleton.name
OreSpawn:OreSpawn_ZombieSpawnBlock, tile.orezombie.name
OreSpawn:OreSpawn_SlimeSpawnBlock, tile.oreslime.name
OreSpawn:OreSpawn_GhastSpawnBlock, tile.oreghast.name
OreSpawn:OreSpawn_ZombiePigmanSpawnBlock, tile.orezombiepigman.name
OreSpawn:OreSpawn_EndermanSpawnBlock, tile.oreenderman.name
OreSpawn:OreSpawn_CaveSpiderSpawnBlock, tile.orecavespider.name
OreSpawn:OreSpawn_SilverfishSpawnBlock, tile.oresilverfish.name
OreSpawn:OreSpawn_MagmaCubeSpawnBlock, tile.oremagmacube.name
OreSpawn:OreSpawn_WitchSpawnBlock, tile.orewitch.name
OreSpawn:OreSpawn_SheepSpawnBlock, tile.oresheep.name
OreSpawn:OreSpawn_WolfSpawnBlock, tile.orewolf.name
OreSpawn:OreSpawn_MooshroomSpawnBlock, tile.oremooshroom.name
OreSpawn:OreSpawn_WitherBossSpawnBlock, tile.orewitherboss.name
OreSpawn:OreSpawn_GirlfriendSpawnBlock, tile.oregirlfriend.name
OreSpawn:OreSpawn_BoyfriendSpawnBlock, tile.oreboyfriend.name
OreSpawn:OreSpawn_RedCowSpawnBlock, tile.oreredcow.name
OreSpawn:OreSpawn_CrystalCowSpawnBlock, tile.orecrystalcow.name
OreSpawn:OreSpawn_VillagerSpawnBlock, tile.orevillager.name
OreSpawn:OreSpawn_GoldCowSpawnBlock, tile.oregoldcow.name
OreSpawn:OreSpawn_EnchantedCowSpawnBlock, tile.oreenchantedcow.name
OreSpawn:OreSpawn_MOTHRASpawnBlock, tile.oreMOTHRA.name
OreSpawn:OreSpawn_AloSpawnBlock, tile.orealosaurus.name
OreSpawn:OreSpawn_CryoSpawnBlock, tile.orecryolophosaurus.name
OreSpawn:OreSpawn_CamaSpawnBlock, tile.orecamarasaurus.name
OreSpawn:OreSpawn_VeloSpawnBlock, tile.orevelocityraptor.name
OreSpawn:OreSpawn_HydroSpawnBlock, tile.orehydrolisc.name
OreSpawn:OreSpawn_BasilSpawnBlock, tile.orebasilisc.name
OreSpawn:OreSpawn_DragonflySpawnBlock, tile.oredragonfly.name
OreSpawn:OreSpawn_EmperorScorpionSpawnBlock, tile.oreemperorscorpion.name
OreSpawn:OreSpawn_ScorpionSpawnBlock, tile.orescorpion.name
OreSpawn:OreSpawn_CaveFisherSpawnBlock, tile.orecavefisher.name
OreSpawn:OreSpawn_SpyroSpawnBlock, tile.orespyro.name
OreSpawn:OreSpawn_BaryonyxSpawnBlock, tile.orebaryonyx.name
OreSpawn:OreSpawn_GammaMetroidSpawnBlock, tile.oregammametroid.name
OreSpawn:OreSpawn_CockateilSpawnBlock, tile.orecockateil.name
OreSpawn:OreSpawn_KyuubiSpawnBlock, tile.orekyuubi.name
OreSpawn:OreSpawn_AlienSpawnBlock, tile.orealien.name
OreSpawn:OreSpawn_IronGolemSpawnBlock, tile.oreirongolem.name
OreSpawn:OreSpawn_SnowGolemSpawnBlock, tile.oresnowgolem.name
OreSpawn:OreSpawn_EnderDragonSpawnBlock, tile.oreenderdragon.name
OreSpawn:OreSpawn_OcelotSpawnBlock, tile.oreocelot.name
OreSpawn:OreSpawn_WitherSkeletonSpawnBlock, tile.orewitherskeleton.name
OreSpawn:OreSpawn_BlazeSpawnBlock, tile.oreblaze.name
OreSpawn:OreSpawn_AttackSquidSpawnBlock, tile.oreattacksquid.name
OreSpawn:OreSpawn_WaterDragonSpawnBlock, tile.orewaterdragon.name
OreSpawn:OreSpawn_CephadromeSpawnBlock, tile.orecephadrome.name
OreSpawn:OreSpawn_KrakenSpawnBlock, tile.orekraken.name
OreSpawn:OreSpawn_LizardSpawnBlock, tile.orelizard.name
OreSpawn:OreSpawn_DragonSpawnBlock, tile.oredragon.name
OreSpawn:OreSpawn_BeeSpawnBlock, tile.orebee.name
OreSpawn:OreSpawn_HorseSpawnBlock, tile.orehorse.name
OreSpawn:OreSpawn_TrooperBugSpawnBlock, tile.oretrooper.name
OreSpawn:OreSpawn_SpitBugSpawnBlock, tile.orespit.name
OreSpawn:OreSpawn_StinkBugSpawnBlock, tile.orestink.name
OreSpawn:OreSpawn_OstrichSpawnBlock, tile.oreostrich.name
OreSpawn:OreSpawn_GazelleSpawnBlock, tile.oregazelle.name
OreSpawn:OreSpawn_ChipmunkSpawnBlock, tile.orechipmunk.name
OreSpawn:OreSpawn_CreepingHorrorSpawnBlock, tile.orecreepinghorror.name
OreSpawn:OreSpawn_TerribleTerrorSpawnBlock, tile.oreterribleterror.name
OreSpawn:OreSpawn_CliffRacerSpawnBlock, tile.orecliffracer.name
OreSpawn:OreSpawn_TriffidSpawnBlock, tile.oretriffid.name
OreSpawn:OreSpawn_PitchBlackSpawnBlock, tile.orenightmare.name
OreSpawn:OreSpawn_LurkingTerrorSpawnBlock, tile.orelurkingterror.name
OreSpawn:OreSpawn_GodzillaPartSpawnBlock, tile.oregodzillapart.name
OreSpawn:OreSpawn_GodzillaSpawnBlock, tile.oregodzilla.name
OreSpawn:OreSpawn_TheKingPartSpawnBlock, tile.orethekingpart.name
OreSpawn:OreSpawn_TheKingSpawnBlock, tile.oretheking.name
OreSpawn:OreSpawn_TheQueenPartSpawnBlock, tile.orethequeenpart.name
OreSpawn:OreSpawn_TheQueenSpawnBlock, tile.orethequeen.name
OreSpawn:OreSpawn_SmallWormSpawnBlock, tile.oresmallworm.name
OreSpawn:OreSpawn_MediumWormSpawnBlock, tile.oremediumworm.name
OreSpawn:OreSpawn_LargeWormSpawnBlock, tile.orelargeworm.name
OreSpawn:OreSpawn_CassowarySpawnBlock, tile.orecassowary.name
OreSpawn:OreSpawn_CloudSharkSpawnBlock, tile.orecloudshark.name
OreSpawn:OreSpawn_GoldFishSpawnBlock, tile.oregoldfish.name
OreSpawn:OreSpawn_LeafMonsterSpawnBlock, tile.oreleafmonster.name
OreSpawn:OreSpawn_TshirtSpawnBlock, tile.oretshirt.name
OreSpawn:OreSpawn_EnderKnightSpawnBlock, tile.oreenderknight.name
OreSpawn:OreSpawn_EnderReaperSpawnBlock, tile.oreenderreaper.name
OreSpawn:OreSpawn_BeaverSpawnBlock, tile.orebeaver.name
OreSpawn:OreSpawn_UrchinSpawnBlock, tile.oreurchin.name
OreSpawn:OreSpawn_FlounderSpawnBlock, tile.oreflounder.name
OreSpawn:OreSpawn_SkateSpawnBlock, tile.oreskate.name
OreSpawn:OreSpawn_RotatorSpawnBlock, tile.orerotator.name
OreSpawn:OreSpawn_PeacockSpawnBlock, tile.orepeacock.name
OreSpawn:OreSpawn_FairySpawnBlock, tile.orefairy.name
OreSpawn:OreSpawn_DungeonBeastSpawnBlock, tile.oredungeonbeast.name
OreSpawn:OreSpawn_VortexSpawnBlock, tile.orevortex.name
OreSpawn:OreSpawn_RatSpawnBlock, tile.orerat.name
OreSpawn:OreSpawn_WhaleSpawnBlock, tile.orewhale.name
OreSpawn:OreSpawn_IrukandjiSpawnBlock, tile.oreirukandji.name
OreSpawn:OreSpawn_TRexSpawnBlock, tile.oretrex.name
OreSpawn:OreSpawn_HerculesSpawnBlock, tile.orehercules.name
OreSpawn:OreSpawn_MantisSpawnBlock, tile.oremantis.name
OreSpawn:OreSpawn_StinkySpawnBlock, tile.orestinky.name
OreSpawn:OreSpawn_EasterBunnySpawnBlock, tile.oreeasterbunny.name
OreSpawn:OreSpawn_CaterKillerSpawnBlock, tile.orecaterkiller.name
OreSpawn:OreSpawn_MolenoidSpawnBlock, tile.oremolenoid.name
OreSpawn:OreSpawn_SeaMonsterSpawnBlock, tile.oreseamonster.name
OreSpawn:OreSpawn_SeaViperSpawnBlock, tile.oreseaviper.name
OreSpawn:OreSpawn_LeonSpawnBlock, tile.oreleon.name
OreSpawn:OreSpawn_HammerheadSpawnBlock, tile.orehammerhead.name
OreSpawn:OreSpawn_RubberDuckySpawnBlock, tile.orerubberducky.name
OreSpawn:OreSpawn_CriminalSpawnBlock, tile.orecriminal.name
OreSpawn:OreSpawn_BrutalflySpawnBlock, tile.orebrutalfly.name
OreSpawn:OreSpawn_NastysaurusSpawnBlock, tile.orenastysaurus.name
OreSpawn:OreSpawn_PointysaurusSpawnBlock, tile.orepointysaurus.name
OreSpawn:OreSpawn_CricketSpawnBlock, tile.orecricket.name
OreSpawn:OreSpawn_FrogSpawnBlock, tile.orefrog.name
OreSpawn:OreSpawn_SpiderDriverSpawnBlock, tile.orespiderdriver.name
OreSpawn:OreSpawn_CrabSpawnBlock, tile.orecrab.name
OreSpawn:OreSpawn_OreSaltBlock, tile.oresalt.name
OreSpawn:OreSpawn_RTPBlock, tile.blockteleport.name
OreSpawn:OreSpawn_MoleDirtBlock, tile.moledirt.name
OreSpawn:OreSpawn_OreTitaniumBlock, tile.oretitanium.name
OreSpawn:OreSpawn_OreUraniumBlock, tile.oreuranium.name
OreSpawn:OreSpawn_BlockTitaniumBlock, tile.blocktitanium.name
OreSpawn:OreSpawn_BlockMobzillaScaleBlock, tile.blockmobzillascale.name
OreSpawn:OreSpawn_BlockUraniumBlock, tile.blockuranium.name
OreSpawn:OreSpawn_LavafoamBlock, tile.lavafoam.name
OreSpawn:OreSpawn_OreRubyBlock, tile.oreruby.name
OreSpawn:OreSpawn_BlockRubyBlock, tile.blockruby.name
OreSpawn:OreSpawn_OreAmethystBlock, tile.oreamethyst.name
OreSpawn:OreSpawn_BlockAmethystBlock, tile.blockamethyst.name
OreSpawn:OreSpawn_CrystalPinkBlock, tile.crystalpink_block.name
OreSpawn:OreSpawn_TigersEyeBlock, tile.tigerseye_block.name
OreSpawn:OreSpawn_PizzaBlock, tile.pizza.name
OreSpawn:OreSpawn_DuctTapeBlock, tile.ducttape.name
OreSpawn:OreSpawn_OreCrystalStoneBlock, tile.crystalstone.name
OreSpawn:OreSpawn_OreCrystalRatBlock, tile.crystalrat.name
OreSpawn:OreSpawn_OreRedAntTrollBlock, tile.redanttroll.name
OreSpawn:OreSpawn_OreTermiteTrollBlock, tile.termitetroll.name
OreSpawn:OreSpawn_OreCrystalFairyBlock, tile.crystalfairy.name
OreSpawn:OreSpawn_OreCrystalCoalBlock, tile.crystalcoal.name
OreSpawn:OreSpawn_OreCrystalGrassBlock, tile.crystalgrass.name
OreSpawn:OreSpawn_OreCrystalCrystalBlock, tile.crystalcrystal.name
OreSpawn:OreSpawn_OreTigersEyeBlock, tile.tigerseye.name
OreSpawn:OreSpawn_CrystalPlanksBlock, tile.crystalplanks.name
OreSpawn:OreSpawn_CrystalWorkbenchBlock, tile.crystalworkbench.name
OreSpawn:OreSpawn_CrystalFurnaceBlock, tile.crystalfurnace.name
OreSpawn:OreSpawn_CrystalFurnaceOnBlock, tile.crystalfurnace.name
OreSpawn:OreSpawn_StrawberryPlant, Unnamed Block, report to mod author.
OreSpawn:OreSpawn_RadishPlant, Unnamed Block, report to mod author.
OreSpawn:OreSpawn_RicePlant, Unnamed Block, report to mod author.
OreSpawn:OreSpawn_ButterflyPlant, Unnamed Block, report to mod author.
OreSpawn:OreSpawn_MothPlant, Unnamed Block, report to mod author.
OreSpawn:OreSpawn_MosquitoPlant, Unnamed Block, report to mod author.
OreSpawn:OreSpawn_FireflyPlant, Unnamed Block, report to mod author.
OreSpawn:OreSpawn_CornPlant1, tile.corn_0.name
OreSpawn:OreSpawn_CornPlant2, tile.corn_1.name
OreSpawn:OreSpawn_CornPlant3, tile.corn_2.name
OreSpawn:OreSpawn_CornPlant4, tile.corn_3.name
OreSpawn:OreSpawn_QuinoaPlant1, tile.quinoa_0.name
OreSpawn:OreSpawn_QuinoaPlant2, tile.quinoa_1.name
OreSpawn:OreSpawn_QuinoaPlant3, tile.quinoa_2.name
OreSpawn:OreSpawn_QuinoaPlant4, tile.quinoa_3.name
OreSpawn:OreSpawn_TomatoPlant1, tile.tomato_0.name
OreSpawn:OreSpawn_TomatoPlant2, tile.tomato_1.name
OreSpawn:OreSpawn_TomatoPlant3, tile.tomato_2.name
OreSpawn:OreSpawn_TomatoPlant4, tile.tomato_3.name
OreSpawn:OreSpawn_LettucePlant1, tile.lettuce_0.name
OreSpawn:OreSpawn_LettucePlant2, tile.lettuce_1.name
OreSpawn:OreSpawn_LettucePlant3, tile.lettuce_2.name
OreSpawn:OreSpawn_LettucePlant4, tile.lettuce_3.name
OreSpawn:OreSpawn_AppleLeaves, tile.leaves_apple.name
OreSpawn:OreSpawn_ExperienceLeaves, tile.leaves_experience.name
OreSpawn:OreSpawn_ScaryLeaves, tile.leaves_scary.name
OreSpawn:OreSpawn_CherryLeaves, tile.leaves_cherry.name
OreSpawn:OreSpawn_PeachLeaves, tile.leaves_peach.name
OreSpawn:OreSpawn_SkyTreeLog, tile.skytreelog.name
OreSpawn:OreSpawn_DuplicatorLog, tile.duplicatortreelog.name
OreSpawn:OreSpawn_ExperiencePlant, tile.experiencesapling.name
OreSpawn:OreSpawn_CrystalPlant, tile.crystalsapling.name
OreSpawn:OreSpawn_CrystalPlant2, tile.crystalsapling2.name
OreSpawn:OreSpawn_CrystalPlant3, tile.crystalsapling3.name
OreSpawn:OreSpawn_FlowerPink, tile.flower_pink.name
OreSpawn:OreSpawn_FlowerBlue, tile.flower_blue.name
OreSpawn:OreSpawn_FlowerBlack, tile.flower_black.name
OreSpawn:OreSpawn_FlowerScary, tile.flower_scary.name
OreSpawn:OreSpawn_CrystalFlowerRed, tile.crystalflower_red.name
OreSpawn:OreSpawn_CrystalFlowerGreen, tile.crystalflower_green.name
OreSpawn:OreSpawn_CrystalFlowerBlue, tile.crystalflower_blue.name
OreSpawn:OreSpawn_CrystalFlowerYellow, tile.crystalflower_yellow.name
OreSpawn:OreSpawn_CrystalLeaves, tile.crystaltreeleaves.name
OreSpawn:OreSpawn_CrystalLeaves2, tile.crystaltreeleaves2.name
OreSpawn:OreSpawn_CrystalLeaves3, tile.crystaltreeleaves3.name
OreSpawn:OreSpawn_CrystalTreeLog, tile.crystaltreelog.name
OreSpawn:OreSpawn_ExtremeTorch, tile.extremetorch.name
OreSpawn:OreSpawn_CrystalTorch, tile.crystaltorch.name
OreSpawn:OreSpawn_KrakenRepellent, tile.krakenrepellent.name
OreSpawn:OreSpawn_CreeperRepellent, tile.creeperrepellent.name
OreSpawn:OreSpawn_Island, tile.island.name
OreSpawn:OreSpawn_KingSpawner, tile.kingspawner.name
OreSpawn:OreSpawn_QueenSpawner, tile.queenspawner.name
OreSpawn:OreSpawn_DungeonSpawner, tile.dungeonspawner.name
OreSpawn:OreSpawn_EnderPearlBlock, tile.blockenderpearl.name
OreSpawn:OreSpawn_EyeOfEnderBlock, tile.blockeyeofender.name
OreSpawn:OreSpawn_AntBlock, tile.AntBlock.name
OreSpawn:OreSpawn_RedAntBlock, tile.RedAntBlock.name
OreSpawn:OreSpawn_TermiteBlock, tile.TermiteBlock.name
OreSpawn:OreSpawn_CrystalTermiteBlock, tile.CrystalTermiteBlock.name
OreSpawn:OreSpawn_RainbowAntBlock, tile.RainbowAntBlock.name
OreSpawn:OreSpawn_UnstableAntBlock, tile.UnstableAntBlock.name
rftools:machineFrame, Machine Frame
rftools:machineBase, Machine Base
rftools:rfMonitorBlock, RF Monitor
rftools:liquidMonitorBlock, Liquid Monitor
rftools:crafterBlock1, Crafter Tier 1
rftools:crafterBlock2, Crafter Tier 2
rftools:crafterBlock3, Crafter Tier 3
rftools:relayBlock, Power Relay
rftools:itemFilterBlock, Item Filter
rftools:dimletFilterBlock, Dimlet Filter
rftools:storageScannerBlock, Storage Scanner
rftools:machineInfuserBlock, Machine Infuser
rftools:environmentalControllerBlock, Environmental Controller
rftools:spawnerBlock, Spawner
rftools:matterBeamerBlock, Matter Beamer
rftools:volcanicCoreBlock, Volcanic Core
rftools:volcanicBlock, Volcanic Block
rftools:screenBlock, Screen
rftools:screenHitBlock, Screen
rftools:screenControllerBlock, Screen Controller
rftools:dimletResearcherBlock, Dimlet Researcher
rftools:dimletScramblerBlock, Dimlet Scrambler
rftools:dimensionEnscriberBlock, Dimension Enscriber
rftools:dimensionBuilderBlock, Dimension Builder
rftools:creativeDimensionBuilderBlock, Creative Dimension Builder
rftools:dimensionEditorBlock, Dimension Editor
rftools:dimensionMonitorBlock, Dimension Monitor
rftools:dimensionalShardBlock, Dimensional Shard Ore
rftools:dimensionalBlankBlock, Dimensional Blank Block
rftools:dimensionalBlock, Dimensional Block
rftools:dimensionalSmallBlocks, Dimensional Small Blocks
rftools:dimensionalCrossBlock, Dimensional Cross Block
rftools:dimensionalCross2Block, Dimensional Cross 2 Block
rftools:dimensionalPattern1Block, Dimensional Pattern 1 Block
rftools:dimensionalPattern2Block, Dimensional Pattern 2 Block
rftools:activityProbeBlock, Activity Probe
rftools:energyExtractorBlock, Energy Extractor
rftools:matterTransmitterBlock, Matter Transmitter
rftools:matterReceiverBlock, Matter Receiver
rftools:dialingDeviceBlock, Dialing Device
rftools:simpleDialerBlock, Simple Dialer
rftools:destinationAnalyzerBlock, Destination Analyzer
rftools:matterBoosterBlock, Matter Booster
rftools:endergenicBlock, Endergenic Generator
rftools:pearlInjectorBlock, Pearl Injector
rftools:enderMonitorBlock, Ender Monitor
rftools:sequencerBlock, Sequencer
rftools:timerBlock, Timer
rftools:counterBlock, Counter
rftools:redstoneTransmitterBlock, Redstone Transmitter
rftools:redstoneReceiverBlock, Redstone Receiver
rftools:shieldBlock, Shield Projector Tier 1
rftools:shieldBlock2, Shield Projector Tier 2
rftools:shieldBlock3, Shield Projector Tier 3
rftools:shieldBlock4, Shield Projector Tier 4
rftools:invisibleShieldBlock, Invisible Shield Block
rftools:noTickInvisibleShieldBlock, Invisible Shield Block
rftools:solidShieldBlock, Solid Shield Block
rftools:noTickolidShieldBlock, Solid Shield Block
rftools:shieldTemplateBlock:0, Shield Template
rftools:shieldTemplateBlock:1, Shield Template
rftools:shieldTemplateBlock:2, Shield Template
rftools:shieldTemplateBlock:3, Shield Template
rftools:dimletWorkbenchBlock, Dimlet Workbench
rftools:biomeAbsorberBlock, Biome Absorber
rftools:materialAbsorberBlock, Material Absorber
rftools:liquidAbsorberBlock, Liquid Absorber
rftools:timeAbsorberBlock, Time Absorber
rftools:proxyBlock, Proxy Block
rftools:spaceChamberBlock, Space Chamber Corner Block
rftools:spaceChamberControllerBlock, Space Chamber Controller Block
rftools:spaceProjectorBlock, Space Projector Block (WIP)
rftools:builderBlock, Builder Block
rftools:supportBlock, Support Block
rftools:blockProtectorBlock, Block Protector
rftools:modularStorageBlock, Modular Storage
rftools:remoteStorageBlock, Remote Storage
rftools:securityManagerBlock, Security Manager
thaumicenergistics:thaumicenergistics.block.essentia.provider, Essentia Provider
thaumicenergistics:thaumicenergistics.block.infusion.provider, Infusion Provider
thaumicenergistics:thaumicenergistics.block.gear.box, Iron Gear Box
thaumicenergistics:thaumicenergistics.block.golem.gear.box, Thaumium Gear Box
thaumicenergistics:thaumicenergistics.block.essentia.cell.workbench, Essentia Cell Workbench
thaumicenergistics:thaumicenergistics.block.arcane.assembler, Arcane Assembler
thaumicenergistics:thaumicenergistics.block.knowledge.inscriber, Knowledge Inscriber
thaumicenergistics:thaumicenergistics.block.essentia.vibration.chamber, Essentia Vibration Chamber
thaumicenergistics:thaumicenergistics.block.distillation.encoder, Distillation Pattern Encoder
ThaumicTinkerer:bedrockPortal, Bedrock Portal
ThaumicTinkerer:spawner, Tablet of Necromancy
ThaumicTinkerer:fireFire, Ignis Imbued Fire
ThaumicTinkerer:magnet:0, Kinetic Attractor
ThaumicTinkerer:magnet:1, Corporeal Attractor
ThaumicTinkerer:dislocator, Transvector Dislocator
ThaumicTinkerer:interface, Transvector Interface
ThaumicTinkerer:gaseousLight, tile.gaseousLight.name
ThaumicTinkerer:darkQuartzStairs, Smokey Quartz Stairs
ThaumicTinkerer:travelSlab:0, Paving Slab of Travel
ThaumicTinkerer:travelSlabFull:0, Paving Slab of Travel
ThaumicTinkerer:forcefield, Forcefield
ThaumicTinkerer:fireWater, Aqua Imbued Fire
ThaumicTinkerer:travelStairs, Paving Stair of Travel
ThaumicTinkerer:infusedFarmland, Infused Farmland
ThaumicTinkerer:fireAir, Aer Imbued Fire
ThaumicTinkerer:gaseousShadow, tile.gaseousShadow.name
ThaumicTinkerer:animationTablet, Dynamism Tablet
ThaumicTinkerer:Levitational Locomotive Relay, Levitational Locomotive Relay
ThaumicTinkerer:warpGate, Celestial Gateway
ThaumicTinkerer:Levitational Locomotive, Levitational Locomotive
ThaumicTinkerer:fireOrder, Ordo Imbued Fire
ThaumicTinkerer:enchanter, Osmotic Enchanter
ThaumicTinkerer:infusedGrainBlock, tile.infusedGrainBlock.name
ThaumicTinkerer:funnel, Essentia Funnel
ThaumicTinkerer:nitorGas, tile.nitorGas.name
ThaumicTinkerer:darkQuartzSlab:0, Smokey Quartz Slab
ThaumicTinkerer:darkQuartzSlabFull:0, Smokey Quartz Slab
ThaumicTinkerer:platform, Ethereal Platform
ThaumicTinkerer:repairer, Thaumic Restorer
ThaumicTinkerer:fireEarth, Terra Imbued Fire
ThaumicTinkerer:wardSlab:0, Paving Slab of Warding
ThaumicTinkerer:wardSlabFull:0, Paving Slab of Warding
ThaumicTinkerer:darkQuartz:0, Block of Smokey Quartz
ThaumicTinkerer:darkQuartz:1, Chiseled Smokey Quartz Block
ThaumicTinkerer:darkQuartz:2, Pillar Smokey Quartz Block
ThaumicTinkerer:fireChaos, Perditio Imbued Fire
tinker_io:fuelInputMachine, Fuel Input Machine
minecraft:record_13, Music Disc
minecraft:record_cat, Music Disc
minecraft:record_blocks, Music Disc
minecraft:record_chirp, Music Disc
minecraft:record_far, Music Disc
minecraft:record_mall, Music Disc
minecraft:record_mellohi, Music Disc
minecraft:record_stal, Music Disc
minecraft:record_strad, Music Disc
minecraft:record_ward, Music Disc
minecraft:record_11, Music Disc
minecraft:record_wait, Music Disc
tinker_io:SmartOutput, Smart Output
tinker_io:WhatABeautifulBlock, What a beautiful block
WallpaperCraft:SolidRedBlocks:0, Solid Light Warm Pink
WallpaperCraft:SolidRedBlocks:1, Solid Light Red
WallpaperCraft:SolidRedBlocks:2, Solid Bright Red
WallpaperCraft:SolidRedBlocks:3, Solid Red
WallpaperCraft:SolidRedBlocks:4, Solid Blood Red
WallpaperCraft:SolidRedBlocks:5, Solid Light Cool Pink
WallpaperCraft:SolidRedBlocks:6, Solid Pink
WallpaperCraft:SolidRedBlocks:7, Solid Hot Pink
WallpaperCraft:SolidRedBlocks:8, Solid Dark Pink
WallpaperCraft:SolidRedBlocks:9, Solid Fuchsia
WallpaperCraft:SolidRedBlocks:10, Solid Baby Pink
WallpaperCraft:SolidRedBlocks:11, Solid Light Salmon Red
WallpaperCraft:SolidRedBlocks:12, Solid Salmon Red
WallpaperCraft:SolidRedBlocks:13, Solid Brown Red
WallpaperCraft:SolidRedBlocks:14, Solid Dark Brown Red
WallpaperCraft:SolidPurpleBlocks:0, Solid Light Magenta
WallpaperCraft:SolidPurpleBlocks:1, Solid Magenta
WallpaperCraft:SolidPurpleBlocks:2, Solid Dark Magenta
WallpaperCraft:SolidPurpleBlocks:3, Solid Violet
WallpaperCraft:SolidPurpleBlocks:4, Solid Dark Violet
WallpaperCraft:SolidPurpleBlocks:5, Solid Light Violet
WallpaperCraft:SolidPurpleBlocks:6, Solid Light Purple
WallpaperCraft:SolidPurpleBlocks:7, Solid Purple
WallpaperCraft:SolidPurpleBlocks:8, Solid Dark Purple
WallpaperCraft:SolidPurpleBlocks:9, Solid Royal Blue
WallpaperCraft:SolidPurpleBlocks:10, Solid Light Lavender
WallpaperCraft:SolidPurpleBlocks:11, Solid Lavender
WallpaperCraft:SolidPurpleBlocks:12, Solid Azure Blue
WallpaperCraft:SolidPurpleBlocks:13, Solid Dark Blue
WallpaperCraft:SolidPurpleBlocks:14, Solid Midnight Blue
WallpaperCraft:SolidBlueBlocks:0, Solid Light Blue
WallpaperCraft:SolidBlueBlocks:1, Solid Light Sky Blue
WallpaperCraft:SolidBlueBlocks:2, Solid Sky Blue
WallpaperCraft:SolidBlueBlocks:3, Solid Dark Sky Blue
WallpaperCraft:SolidBlueBlocks:4, Solid Navy Blue
WallpaperCraft:SolidBlueBlocks:5, Solid Light Baby Blue
WallpaperCraft:SolidBlueBlocks:6, Solid Baby Blue
WallpaperCraft:SolidBlueBlocks:7, Solid Bright Blue
WallpaperCraft:SolidBlueBlocks:8, Solid Medium Blue
WallpaperCraft:SolidBlueBlocks:9, Solid Deep Blue
WallpaperCraft:SolidBlueBlocks:10, Solid Light Aqua Blue
WallpaperCraft:SolidBlueBlocks:11, Solid Aqua Blue
WallpaperCraft:SolidBlueBlocks:12, Solid Dark Aqua Blue
WallpaperCraft:SolidBlueBlocks:13, Solid Ocean Blue
WallpaperCraft:SolidBlueBlocks:14, Solid Midnight Blue
WallpaperCraft:SolidCyanBlocks:0, Solid Light Green Blue
WallpaperCraft:SolidCyanBlocks:1, Solid Light Turquoise Blue
WallpaperCraft:SolidCyanBlocks:2, Solid Turquoise Blue
WallpaperCraft:SolidCyanBlocks:3, Solid Teal Blue
WallpaperCraft:SolidCyanBlocks:4, Solid Dark Teal Blue
WallpaperCraft:SolidCyanBlocks:5, Solid Light Seafoam Blue Green
WallpaperCraft:SolidCyanBlocks:6, Solid Seafoam Blue Green
WallpaperCraft:SolidCyanBlocks:7, Solid Blue Green
WallpaperCraft:SolidCyanBlocks:8, Solid Dark Blue Green
WallpaperCraft:SolidCyanBlocks:9, Solid Dark Pine Blue Green
WallpaperCraft:SolidGreenBlocks:0, Solid Light Green
WallpaperCraft:SolidGreenBlocks:1, Solid Light Spring Green
WallpaperCraft:SolidGreenBlocks:2, Solid Spring Green
